product_id,neg,neu,pos,compound
B07JW9H4J1,0.032,0.744,0.224,0.9033
B098NS6PVG,0.01,0.821,0.169,0.9853
B096MSW6CT,0.0,0.641,0.359,0.6808
B08HDJ86NZ,0.028,0.8,0.172,0.8316
B08CF3B7N1,0.116,0.719,0.165,0.9809
B08Y1TFSP6,0.087,0.573,0.34,0.6611
B08WRWPM22,0.028,0.864,0.109,0.8735
B08DDRGWTJ,0.051,0.801,0.148,0.9334
B082LZGK39,0.01,0.821,0.169,0.9853
B08CF3D7QR,0.064,0.797,0.139,0.9236
B0789LZTCJ,0.028,0.8,0.172,0.8316
B085DTN6R2,0.04,0.691,0.269,0.9877
B09KLVMZ3B,0.025,0.768,0.207,0.9719
B083342NKJ,0.038,0.658,0.304,0.9698
B0B6F7LX4C,0.123,0.613,0.264,0.9625
B082LSVT4B,0.01,0.821,0.169,0.9853
B08WRBG3XW,0.089,0.834,0.077,-0.2724
B08DPLCM6T,0.108,0.678,0.214,0.875
B09C6HXFC1,0.0,0.631,0.369,0.9918
B085194JFL,0.066,0.843,0.09,0.1729
B09F6S8BT6,0.17,0.745,0.085,-0.8476
B09NHVCHS9,0.0,0.713,0.287,0.9817
B0B1YVCJ2Y,0.05,0.782,0.168,0.9988
B01M4GGIVU,0.054,0.782,0.164,0.9816
B08B42LWKN,0.062,0.78,0.157,0.9966
B094JNXNPV,0.066,0.833,0.101,0.7626
B09W5XR9RT,0.0,0.788,0.212,0.9686
B077Z65HSD,0.013,0.781,0.206,0.9849
B00NH11PEY,0.019,0.881,0.1,0.9387
B09CMM3VGK,0.047,0.812,0.141,0.9695
B08QSC1XY8,0.029,0.742,0.229,0.96
B008FWZGSG,0.0,0.707,0.293,0.9771
B0B4HJNPV4,0.023,0.827,0.15,0.836
B08Y1SJVV5,0.082,0.542,0.376,0.8081
B07XLCFSSN,0.034,0.695,0.271,0.9934
B09RZS1NQT,0.049,0.701,0.25,0.9906
B0B3MMYHYW,0.119,0.784,0.097,-0.9821
B09C6HWG18,0.045,0.754,0.201,0.9839
B09JPC82QC,0.056,0.78,0.164,0.9998
B07JW1Y6XV,0.032,0.744,0.224,0.9033
B07KRCW6LZ,0.049,0.77,0.181,0.969
B09NJN8L25,0.0,0.713,0.287,0.9817
B07XJYYH7L,0.046,0.927,0.027,-0.1531
B002PD61Y4,0.049,0.787,0.164,0.8718
B09L8DSSFH,0.052,0.773,0.174,0.9612
B07232M876,0.048,0.826,0.127,0.9989
B07P681N66,0.055,0.848,0.098,0.9846
B0711PVX6Z,0.048,0.826,0.127,0.9989
B082T6V3DT,0.015,0.815,0.169,0.9893
B07MKFNHKG,0.042,0.871,0.087,0.9516
B0BFWGBX61,0.059,0.71,0.231,0.9562
B01N90RZ4M,0.05,0.811,0.139,0.5719
B09Q5SWVBJ,0.062,0.78,0.157,0.9966
B0B4DT8MKT,0.035,0.78,0.185,0.9651
B08CDKQ8T6,0.0,0.842,0.158,0.8719
B07B275VN9,0.022,0.822,0.156,0.8854
B0B15CPR37,0.047,0.8,0.152,0.9984
B0994GFWBH,0.063,0.855,0.081,0.1181
B01GGKZ0V6,0.056,0.78,0.164,0.9291
B09F9YQQ7B,0.069,0.75,0.181,0.9836
B09Q8HMKZX,0.022,0.753,0.225,0.9896
B0B9XN9S3W,0.033,0.833,0.134,0.9657
B07966M8XH,0.0,0.774,0.226,0.96
B01GGKYKQM,0.0,0.793,0.207,0.9815
B0B86CDHL1,0.051,0.849,0.099,0.9129
B0B5ZF3NRK,0.016,0.766,0.218,0.9477
B09RFC46VP,0.069,0.75,0.181,0.9836
B08R69VDHT,0.035,0.789,0.176,0.9691
B09RWZRCP1,0.051,0.808,0.14,0.9929
B09CMP1SC8,0.053,0.735,0.212,0.9924
B09YLXYP7Y,0.026,0.676,0.298,0.9511
B09ZPM4C2C,0.02,0.859,0.122,0.886
B0B2DJDCPX,0.037,0.769,0.194,0.8402
B0BCZCQTJX,0.083,0.715,0.202,0.9786
B07LGT55SJ,0.032,0.744,0.224,0.9033
B09NKZXMWJ,0.0,0.713,0.287,0.9817
B08QX1CC14,0.07,0.734,0.195,0.9425
B0974H97TJ,0.0,0.719,0.281,0.9829
B07GVGTSLN,0.032,0.805,0.163,0.9577
B09VCHLSJF,0.119,0.784,0.097,-0.9821
B0B1YZX72F,0.05,0.782,0.168,0.9988
B092BJMT8Q,0.047,0.8,0.152,0.9984
B0BMXMLSMM,0.044,0.662,0.294,0.9934
B07JH1C41D,0.032,0.744,0.224,0.9033
B0141EZMAI,0.024,0.821,0.155,0.9036
B09Q5P2MT3,0.062,0.78,0.157,0.9966
B08HDH26JX,0.028,0.8,0.172,0.8316
B09VT6JKRP,0.0,0.735,0.265,0.9636
B09T3KB6JZ,0.019,0.88,0.101,0.9879
B093QCY6YJ,0.0,0.876,0.124,0.7933
B093ZNQZ2Y,0.048,0.78,0.172,0.9401
B08LKS3LSP,0.077,0.839,0.084,0.1546
B00V4BGDKU,0.053,0.791,0.156,0.9919
B08CHKQ8D4,0.049,0.769,0.183,0.9145
B09BW334ML,0.057,0.719,0.223,0.8934
B082T6GVLJ,0.064,0.757,0.18,0.8501
B07DL1KC3H,0.074,0.801,0.125,0.8014
B0B6F98KJJ,0.123,0.613,0.264,0.9625
B07JNVF678,0.044,0.757,0.199,0.9774
B09QGZFBPM,0.073,0.622,0.305,0.9895
B07JGDB5M1,0.032,0.744,0.224,0.9033
B0981XSZJ7,0.035,0.776,0.19,0.9727
B0B9XLX8VR,0.069,0.758,0.174,0.995
B08Y5KXR6Z,0.087,0.573,0.34,0.6611
B09F6VHQXB,0.052,0.694,0.253,0.974
B0974G5Q2Y,0.013,0.781,0.206,0.9849
B09YL9SN9B,0.023,0.754,0.223,0.9975
B09RX1FK54,0.051,0.808,0.14,0.9929
B09TT6BFDX,0.0,0.739,0.261,0.8727
B09KH58JZR,0.099,0.833,0.068,-0.8288
B09DDCQFMT,0.06,0.766,0.174,0.8402
B08RP2L2NL,0.05,0.855,0.094,0.6475
B0B4G2MWSB,0.063,0.855,0.081,0.1181
B0B21C4BMX,0.076,0.735,0.189,0.9557
B084MZXJNK,0.116,0.685,0.199,0.7896
B0BHZCNC4P,0.0,0.913,0.087,0.6249
B0B16KD737,0.041,0.795,0.164,0.8984
B099K9ZX65,0.043,0.767,0.19,0.9986
B08Y55LPBF,0.069,0.75,0.181,0.9836
B015OW3M1W,0.028,0.807,0.166,0.9785
B01D5H8ZI8,0.09,0.811,0.099,-0.2621
B09X1M3DHX,0.035,0.657,0.309,0.9418
B09MM6P76N,0.032,0.771,0.197,0.9916
B01D5H8LDM,0.0,0.771,0.229,0.958
B0B1YY6JJL,0.05,0.782,0.168,0.9988
B09QGZM8QB,0.073,0.622,0.305,0.9895
B08L4SBJRY,0.07,0.706,0.224,0.9883
B09X79PP8F,0.065,0.767,0.168,0.8045
B082T6GVG9,0.167,0.742,0.091,-0.6181
B0B3XY5YT4,0.108,0.737,0.155,0.934
B0B4HKH19N,0.023,0.827,0.15,0.836
B08TGG316Z,0.0,0.851,0.149,0.8583
B071VMP1Z4,0.089,0.817,0.094,-0.3434
B071SDRGWL,0.013,0.781,0.206,0.9849
B08PSQRW2T,0.032,0.832,0.136,0.9641
B0859M539M,0.055,0.848,0.098,0.9846
B08RX8G496,0.061,0.799,0.14,0.9422
B08CS3BT4L,0.07,0.804,0.125,0.9886
B00RFWNJMC,0.117,0.79,0.093,-0.3071
B082T6GXS5,0.07,0.691,0.238,0.9788
B09CMQRQM6,0.033,0.748,0.22,0.9951
B005LJQMCK,0.063,0.755,0.182,0.9457
B09C6H53KH,0.055,0.796,0.149,0.9743
B0BB3CBFBM,0.065,0.755,0.18,0.9913
B08QSDKFGQ,0.029,0.742,0.229,0.96
B08PV1X771,0.17,0.745,0.085,-0.8476
B07YTNKVJQ,0.051,0.801,0.148,0.9334
B0117H7GZ6,0.043,0.87,0.087,0.9778
B09XJ1LM7R,0.413,0.587,0.0,-0.7926
B084N133Y7,0.116,0.685,0.199,0.7896
B088Z1YWBC,0.027,0.793,0.179,0.9998
B07VSG5SXZ,0.054,0.824,0.122,0.8115
B08RWCZ6SY,0.098,0.779,0.123,0.3821
B07KSB1MLX,0.035,0.837,0.128,0.9745
B081FG1QYX,0.058,0.839,0.102,0.9448
B08R69WBN7,0.035,0.789,0.176,0.9691
B0B3RHX6B6,0.035,0.664,0.301,0.9246
B084N18QZY,0.043,0.747,0.211,0.9892
B081NHWT6Z,0.03,0.71,0.26,0.9826
B07JPJJZ2H,0.044,0.757,0.199,0.9774
B09JKNF147,0.0,0.807,0.193,0.9039
B0B9959XF3,0.084,0.656,0.26,0.9985
B09PNR6F8Q,0.019,0.799,0.182,0.9108
B07M69276N,0.016,0.832,0.152,0.9893
B0B1YZ9CB8,0.05,0.782,0.168,0.9988
B09YLYB9PB,0.026,0.676,0.298,0.9511
B08CTNJ985,0.052,0.82,0.128,0.9446
B0BP7XLX48,0.0,0.588,0.412,0.9382
B09LHXNZLR,0.0,0.774,0.226,0.9552
B0B3N8VG24,0.0,0.713,0.287,0.9817
B08PSVBB2X,0.032,0.832,0.136,0.9641
B0B3MQXNFB,0.0,0.713,0.287,0.9817
B08XMSKKMM,0.109,0.784,0.107,0.2981
B09L8DT7D6,0.024,0.614,0.362,0.948
B00GE55L22,0.0,0.839,0.161,0.9344
B0162K34H2,0.085,0.748,0.167,0.8725
B0B8SRZ5SV,0.034,0.695,0.271,0.9934
B07CWNJLPC,0.035,0.868,0.097,0.8316
B00NH12R1O,0.0,0.635,0.365,0.9825
B0B8SSC5D9,0.034,0.695,0.271,0.9934
B08WKG2MWT,0.073,0.622,0.305,0.9895
B0B466C3G4,0.024,0.853,0.123,0.9606
B005LJQMZC,0.063,0.755,0.182,0.9457
B07MDRGHWQ,0.042,0.871,0.087,0.9516
B0B15GSPQW,0.047,0.8,0.152,0.9984
B08GJNM9N7,0.028,0.656,0.316,0.9554
B09C6FML9B,0.131,0.764,0.105,-0.6026
B0B65MJ45G,0.026,0.88,0.094,0.6486
B08P9RYPLR,0.0,0.713,0.287,0.9817
B0B6F8HHR6,0.123,0.613,0.264,0.9625
B084MZXJN6,0.0,0.892,0.108,0.899
B08XMG618K,0.0,0.79,0.21,0.7935
B0BCKWZ884,0.01,0.619,0.371,0.9905
B00GGGOYEK,0.0,0.695,0.305,0.9684
B07ZR4S1G4,0.163,0.682,0.155,-0.0179
B09C635BMM,0.095,0.689,0.216,0.9869
B00GG59HU2,0.0,0.685,0.315,0.8885
B00RGLI0ZS,0.051,0.719,0.23,0.9939
B09ZPJT8B2,0.0,0.665,0.335,0.891
B07HZ2QCGR,0.075,0.837,0.088,0.9206
B095244Q22,0.032,0.749,0.219,0.9755
B08CKW1KH9,0.092,0.655,0.253,0.9421
B0BLV1GNLN,0.08,0.672,0.248,0.9781
B08RHPDNVV,0.076,0.817,0.106,0.3376
B00NH13Q8W,0.019,0.881,0.1,0.9387
B0B8SSZ76F,0.061,0.825,0.114,0.9275
B0841KQR1Z,0.068,0.795,0.137,0.6486
B0B467CCB9,0.0,0.833,0.167,0.5574
B095JQVC7N,0.063,0.856,0.081,0.849
B08PPHFXG3,0.096,0.746,0.159,0.5106
B06XR9PR5X,0.041,0.651,0.308,0.9388
B09JSW16QD,0.106,0.756,0.138,0.7644
B07JH1CBGW,0.032,0.744,0.224,0.9033
B09127FZCK,0.068,0.779,0.152,0.8334
B083GQGT3Z,0.125,0.753,0.121,-0.0161
B09Q8WQ5QJ,0.026,0.823,0.151,0.9932
B07YZG8PPY,0.042,0.818,0.14,0.9801
B09H39KTTB,0.101,0.755,0.144,0.362
B08DCVRW98,0.022,0.844,0.133,0.9072
B0718ZN31Q,0.081,0.66,0.259,0.9216
B0162LYSFS,0.0,0.87,0.13,0.4588
B07PFJ5VQD,0.051,0.77,0.178,0.8852
B01J8S6X2I,0.031,0.825,0.144,0.9886
B09MJ77786,0.091,0.645,0.263,0.9936
B09NNGHG22,0.01,0.864,0.125,0.9604
B07V5YF4ND,0.0,0.879,0.121,0.7003
B0B65P827P,0.026,0.88,0.094,0.6486
B084MZYBTV,0.014,0.782,0.204,0.9763
B097ZQTDVZ,0.067,0.843,0.091,0.558
B0B5F3YZY4,0.05,0.708,0.242,0.9967
B09G5TSGXV,0.086,0.747,0.167,0.8905
B006LW0WDQ,0.065,0.817,0.118,0.9734
B09YLX91QR,0.026,0.676,0.298,0.9511
B081FJWN52,0.058,0.839,0.102,0.9448
B0758F7KK7,0.094,0.756,0.15,0.913
B09L835C3V,0.037,0.85,0.113,0.7962
B098TV3L96,0.055,0.801,0.144,0.8883
B08NCKT9FG,0.0,0.719,0.281,0.9829
B0B4T6MR8N,0.023,0.827,0.15,0.836
B01GGKZ4NU,0.056,0.78,0.164,0.9291
B09BW2GP18,0.056,0.745,0.199,0.9393
B09WN3SRC7,0.043,0.778,0.179,0.9985
B09B125CFJ,0.016,0.795,0.188,0.984
B09RQRZW2X,0.124,0.79,0.085,-0.3352
B07924P3C5,0.054,0.811,0.135,0.9442
B08N1WL9XW,0.0,0.713,0.287,0.9817
B07VVXJ2P5,0.11,0.801,0.089,-0.4109
B0BC8BQ432,0.069,0.758,0.174,0.995
B06XFTHCNY,0.03,0.74,0.23,0.9779
B08CT62BM1,0.052,0.82,0.128,0.9446
B07CRL2GY6,0.028,0.8,0.172,0.8316
B07DWFX9YS,0.028,0.848,0.123,0.9154
B01D5H90L4,0.046,0.751,0.203,0.9926
B07F1P8KNV,0.032,0.805,0.163,0.9577
B084N1BM9L,0.0,0.892,0.108,0.899
B09F6D21BY,0.12,0.796,0.084,-0.5267
B09LQQYNZQ,0.158,0.752,0.09,-0.9808
B0BC9BW512,0.05,0.782,0.168,0.9988
B0B61HYR92,0.145,0.777,0.079,-0.4525
B075ZTJ9XR,0.0,0.849,0.151,0.9097
B0978V2CP6,0.067,0.86,0.073,0.4988
B09LRZYBH1,0.082,0.727,0.191,0.9125
B0B997FBZT,0.084,0.656,0.26,0.9985
B098LCVYPW,0.049,0.753,0.198,0.8874
B09HV71RL1,0.049,0.769,0.183,0.9145
B08PZ6HZLT,0.0,0.603,0.397,0.9643
B075TJHWVC,0.152,0.665,0.184,0.2732
B09LV13JFB,0.149,0.819,0.033,-0.7479
B092BL5DCX,0.047,0.8,0.152,0.9984
B09VH568H7,0.049,0.821,0.131,0.4939
B09HQSV46W,0.123,0.613,0.264,0.9625
B08TZD7FQN,0.047,0.776,0.177,0.8874
B0B21XL94T,0.061,0.781,0.158,0.9432
B09PTT8DZF,0.075,0.773,0.152,0.6486
B0B3XXSB1K,0.108,0.737,0.155,0.934
B08RZ12GKR,0.046,0.782,0.172,0.8922
B0B4T8RSJ1,0.023,0.827,0.15,0.836
B0B7B9V9QP,0.05,0.726,0.225,0.9849
B08XXVXP3J,0.119,0.79,0.091,-0.6542
B06XGWRKYT,0.101,0.806,0.093,-0.5404
B07CWDX49D,0.035,0.868,0.097,0.8316
B09TY4MSH3,0.052,0.822,0.126,0.9107
B07RY2X9MP,0.0,0.749,0.251,0.98
B0B2C5MJN6,0.029,0.765,0.206,0.9803
B0BBMGLQDW,0.0,0.747,0.253,0.8591
B01LONQBDG,0.021,0.844,0.134,0.9867
B08XXF5V6G,0.039,0.74,0.221,0.9292
B09HK9JH4F,0.037,0.85,0.113,0.7962
B09MMD1FDN,0.051,0.757,0.192,0.9611
B09HN7LD5L,0.0,0.786,0.214,0.9719
B0BNDD9TN6,0.0,0.822,0.178,0.8436
B0941392C8,0.042,0.911,0.047,0.1007
B01M5967SY,0.054,0.782,0.164,0.9816
B016MDK4F4,0.0,0.575,0.425,0.8126
B08G43CCLC,0.072,0.745,0.183,0.8094
B0B61GCHC1,0.049,0.676,0.275,0.9495
B07RX14W1Q,0.053,0.791,0.156,0.8952
B09PLD9TCD,0.0,0.762,0.238,0.9175
B0B8ZKWGKD,0.046,0.647,0.307,0.958
B09NNJ9WYM,0.108,0.662,0.23,0.9794
B08H5L8V1L,0.057,0.759,0.185,0.9617
B0B8CXTTG3,0.123,0.613,0.264,0.9625
B09HCH3JZG,0.011,0.892,0.097,0.9594
B097JVLW3L,0.062,0.767,0.171,0.9547
B09SB6SJB4,0.028,0.766,0.206,0.9674
B08NW8GHCJ,0.0,0.83,0.17,0.9456
B09YHLPQYT,0.02,0.759,0.22,0.9797
B08G1RW2Q3,0.0,0.814,0.186,0.964
B08YXJJW8H,0.037,0.682,0.28,0.9891
B09P8M18QM,0.067,0.815,0.117,0.273
B08BG4M4N7,0.032,0.7,0.268,0.9531
B07VJ9ZTXS,0.016,0.777,0.207,0.9951
B084872DQY,0.063,0.81,0.127,0.9955
B00GGGOYEU,0.101,0.75,0.149,0.7389
B08FD2VSD9,0.0,0.923,0.077,0.3818
B095JPKPH3,0.063,0.856,0.081,0.849
B087JWLZ2K,0.049,0.8,0.151,0.9921
B09DSXK8JX,0.0,0.762,0.238,0.9175
B08V9C4B1J,0.0,0.83,0.17,0.9456
B08PKBMJKS,0.021,0.878,0.101,0.9118
B0B8VQ7KDS,0.066,0.728,0.206,0.7003
B086JTMRYL,0.0,0.789,0.211,0.9169
B09RWQ7YR6,0.093,0.638,0.269,0.9936
B00OFM6PEO,0.0,0.644,0.356,0.9141
B0BF57RN3K,0.05,0.802,0.148,0.9952
B0B3RRWSF6,0.035,0.751,0.214,0.9995
B0B5B6PQCT,0.04,0.725,0.235,0.999
B0BBN4DZBD,0.035,0.788,0.177,0.9849
B0B3CPQ5PF,0.08,0.775,0.145,0.997
B0B3CQBRB4,0.08,0.775,0.145,0.997
B0BBN56J5H,0.035,0.788,0.177,0.9849
B0BBN3WF7V,0.035,0.788,0.177,0.9849
B0BDRVFDKP,0.02,0.841,0.139,0.85
B0B5LVS732,0.056,0.727,0.217,0.9953
B09V12K8NT,0.039,0.676,0.285,0.9843
B0BMGB3CH9,0.037,0.788,0.175,0.9977
B08D77XZX5,0.058,0.718,0.224,0.9855
B09XB8GFBQ,0.123,0.761,0.116,-0.0516
B07WG8PDCW,0.0,0.797,0.203,0.9481
B0BDYVC5TD,0.02,0.841,0.139,0.85
B0BMGB2TPR,0.037,0.788,0.175,0.9977
B08MC57J31,0.018,0.795,0.187,0.9898
B0746JGVDS,0.041,0.766,0.193,0.9894
B08VFF6JQ8,0.059,0.841,0.1,0.7958
B09NVPSCQT,0.057,0.831,0.112,0.7254
B09YV4RG4D,0.01,0.791,0.199,0.9921
B09TWHTBKQ,0.036,0.799,0.165,0.9998
B08L5HMJVW,0.02,0.841,0.139,0.85
B0B4F2XCK3,0.038,0.797,0.165,0.9973
B0BF54972T,0.05,0.802,0.148,0.9952
B09YV4MW2T,0.057,0.708,0.235,0.9972
B09TWH8YHM,0.036,0.799,0.165,0.9998
B07WGMMQGP,0.028,0.804,0.168,0.9385
B0BF563HB4,0.05,0.802,0.148,0.9952
B0BF4YBLPX,0.05,0.802,0.148,0.9952
B09XB7DPW1,0.123,0.761,0.116,-0.0516
B07PFJ5W31,0.051,0.77,0.178,0.8852
B0B3N7LR6K,0.021,0.792,0.188,0.9995
B09ZQK9X8G,0.026,0.87,0.105,0.8923
B07WJV6P1R,0.045,0.788,0.167,0.9726
B0BF54LXW6,0.05,0.802,0.148,0.9952
B09XB7SRQ5,0.123,0.761,0.116,-0.0516
B09FFK1PQG,0.0,0.801,0.199,0.9545
B09RMQYHLH,0.079,0.823,0.098,0.9315
B08ZN4B121,0.03,0.795,0.175,0.9945
B0B3RSDSZ3,0.035,0.751,0.214,0.9995
B08VB34KJ1,0.04,0.703,0.257,0.9486
B09T39K9YL,0.049,0.754,0.197,0.9985
B08VF8V79P,0.103,0.758,0.139,0.8307
B08G28Z33M,0.014,0.764,0.221,0.9565
B09PNKXSKF,0.057,0.831,0.112,0.7254
B0B5DDJNH4,0.04,0.725,0.235,0.999
B07WDKLDRX,0.069,0.806,0.125,0.9985
B09MQSCJQ1,0.021,0.783,0.196,0.9809
B094YFFSMY,0.0,0.869,0.131,0.9587
B08VS3YLRK,0.027,0.692,0.28,0.9701
B0B4F3QNDM,0.038,0.797,0.165,0.9973
B07WDKLRM4,0.045,0.788,0.167,0.9726
B0BP18W8TM,0.031,0.845,0.124,0.9747
B07GXHC691,0.077,0.715,0.208,0.9851
B08FN6WGDQ,0.059,0.752,0.189,0.9989
B0B3D39RKV,0.08,0.775,0.145,0.997
B085HY1DGR,0.021,0.737,0.242,0.9819
B08D75R3Z1,0.027,0.801,0.172,0.9985
B0B4F2TTTS,0.038,0.797,0.165,0.9973
B09WRMNJ9G,0.082,0.761,0.157,0.9982
B0B14MR9L1,0.036,0.799,0.165,0.9998
B09ZPL5VYM,0.0,0.853,0.147,0.8165
B0993BB11X,0.062,0.759,0.179,0.9754
B085W8CFLH,0.086,0.779,0.135,0.8796
B07RD611Z8,0.051,0.833,0.116,0.9981
B0B4F52B5X,0.038,0.797,0.165,0.9973
B096VF5YYF,0.05,0.799,0.152,0.9997
B0B5D39BCD,0.04,0.725,0.235,0.999
B09XBJ1CTN,0.048,0.754,0.198,0.984
B0B4F5L738,0.038,0.797,0.165,0.9973
B08MTCKDYN,0.0,0.831,0.169,0.8625
B09QS8V5N8,0.035,0.773,0.192,0.9998
B09T2WRLJJ,0.049,0.754,0.197,0.9985
B089WB69Y1,0.074,0.793,0.133,0.8394
B0116MIKKC,0.0,0.788,0.212,0.9522
B09P858DK8,0.048,0.741,0.212,0.9796
B07DJLFMPS,0.12,0.68,0.2,0.7184
B07WHQWXL7,0.045,0.788,0.167,0.9726
B07WDK3ZS6,0.045,0.788,0.167,0.9726
B09T2S8X9C,0.049,0.754,0.197,0.9985
B07N8RQ6W7,0.0,0.847,0.153,0.7964
B09FKDH6FS,0.047,0.777,0.175,0.8814
B07WGPKTS4,0.045,0.788,0.167,0.9726
B09MZCQYHZ,0.062,0.759,0.179,0.9754
B0B4F2ZWL3,0.038,0.797,0.165,0.9973
B08VB2CMR3,0.04,0.703,0.257,0.9486
B095RTJH1M,0.031,0.728,0.241,0.9987
B097R25DP7,0.055,0.788,0.157,0.8957
B07WDK3ZS2,0.017,0.86,0.123,0.9764
B08RZ5K9YH,0.028,0.735,0.237,0.9429
B08444S68L,0.021,0.828,0.151,0.9525
B07WHQBZLS,0.028,0.804,0.168,0.9385
B09JS562TP,0.069,0.79,0.142,0.5994
B09V17S2BG,0.0,0.738,0.262,0.9459
B0B5CGTBKV,0.04,0.725,0.235,0.999
B0B23LW7NV,0.02,0.772,0.209,0.9961
B09KGV7WSV,0.029,0.768,0.203,0.9963
B0971DWFDT,0.044,0.828,0.128,0.9278
B0BNV7JM5Y,0.06,0.715,0.226,0.9936
B0B53QFZPY,0.123,0.831,0.045,-0.607
B07WJWRNVK,0.028,0.804,0.168,0.9385
B01F25X6RQ,0.071,0.704,0.225,0.9593
B0B244R4KB,0.018,0.759,0.222,0.998
B0BMGG6NKT,0.037,0.788,0.175,0.9977
B092JHPL72,0.0,0.779,0.221,0.9807
B0B3MWYCHQ,0.019,0.823,0.158,0.9921
B09J2MM5C6,0.052,0.612,0.336,0.9966
